pilot_order,legacy_id,title,year,venue,seed_classification,new_survey_signal,RQ_support_seed,priority,pilot_rationale,codebook_dimensions_to_stress_test,fulltext_verification_required,metadata_verification_required
1,KT004,Graph-Based Knowledge Tracing: Modeling Student Proficiency Using Graph Neural Network,2019,IEEE/WIC/ACM WI,PRIMARY_CORE,GRAPH_KT,"RQ1,RQ2,RQ5",P1,"Seminal explicit Graph-KT; tests basic graph-source, representation, GNN, and fusion fields.",Graph source; KC-KC representation; GNN encoder; fusion; RQ1/RQ2,YES,YES
2,KT010,GIKT: A Graph-Based Interaction Model for Knowledge Tracing,2021,ECML-PKDD,PRIMARY_CORE,GRAPH_KT,"RQ1,RQ2,RQ5",P1,Tests question–concept interaction graph and graph–sequence integration.,Graph representation; interaction graph; fusion; ablation,YES,YES
3,KT014,Prerequisite-Driven Deep Knowledge Tracing,2018,ICDM,PRIMARY_CORE,GRAPH_KT,"RQ1,RQ2,RQ4,RQ5",P1,"Tests prerequisite semantics, directionality, and graph-provenance/leakage coding.",Prerequisite direction; DAG semantics; external vs inferred provenance; leakage,YES,YES
4,KT026,Improving Knowledge Tracing via Pre-Training Question Embeddings,2020,IJCAI,PRIMARY_CORE,SSL_ADJACENT,"RQ1,RQ2,RQ4,RQ5",P2,Boundary case: graph-derived pretraining/question embeddings; tests Graph-KT vs generic pretraining distinction.,Graph gateway; pretraining-vs-SSL rule; bipartite graph; boundary coding,YES,YES
5,KT035,HHSKT: A Learner–Question Interactions Based Heterogeneous Graph Neural Network Model for Knowledge Tracing,2023,Expert Systems with Applications,PRIMARY_CORE,GRAPH_KT,"RQ1,RQ2,RQ5",P1,Tests heterogeneous multi-node graph coding and typed relations.,Heterogeneous nodes/edges; typed relations; heterogeneous GNN,YES,YES
6,KT037,CMKT: Concept Map Driven Knowledge Tracing,2022,IEEE Transactions on Learning Technologies,PRIMARY_CORE,GRAPH_KT,"RQ1,RQ2,RQ4,RQ5",P1,Tests externally supplied concept-map/curriculum structure and fixed-graph provenance.,Concept map; external fixed graph; curriculum provenance,YES,YES
7,KT038,DyGKT: Dynamic Graph Learning for Knowledge Tracing,2024,KDD,PRIMARY_CORE,GRAPH_KT,"RQ1,RQ2,RQ5",P2,Tests dynamic/temporal graph coding and metadata-conflict workflow.,Dynamic graph; temporal evolution; metadata conflict; computational evidence,YES,YES
8,KT039,Contrastive Learning for Knowledge Tracing,2022,The Web Conference,PRIMARY_CORE,SSL_KT,"RQ3,RQ5",P1,Pure sequence-level contrastive KT; tests SSL coding when graph_source = NONE.,Sequence contrastive SSL; augmentation; positive/negative views; no graph,YES,YES
9,KT011,Bi-CLKT: Bi-Graph Contrastive Learning Based Knowledge Tracing,2022,Knowledge-Based Systems,PRIMARY_CORE,GRAPH_SSL_KT,"RQ1,RQ2,RQ3,RQ5",P1,Graph + contrastive learning; tests hybrid Graph/SSL coding and augmentation fields.,Graph contrastive SSL; bi-graph; structure preservation,YES,YES
10,KT042,Self-Supervised Heterogeneous Hypergraph Network for Knowledge Tracing,2023,Information Sciences,PRIMARY_CORE,GRAPH_SSL_KT,"RQ1,RQ2,RQ3,RQ5",P1,Heterogeneous hypergraph + self-supervision; stress-tests graph representation + SSL objective interaction.,Hypergraph; heterogeneous structure; self-supervision; joint objective,YES,YES
11,KT066,Dual-Channel Adaptive Scale Hypergraph Encoders With Cross-View Contrastive Learning for Knowledge Tracing,2025,IEEE Transactions on Neural Networks and Learning Systems,PRIMARY_CORE,GRAPH_SSL_KT,"RQ1,RQ2,RQ3,RQ5",P2,Modern hypergraph + cross-view contrastive learning; tests multi-view SSL and computational reporting.,Hypergraph; multi-view contrastive; cross-view augmentation; scalability,YES,YES
12,KT044,SINKT: A Structure-Aware Inductive Knowledge Tracing Model with Large Language Model,2024,CIKM,PRIMARY_CORE,GRAPH_SPARSE_KT,"RQ1,RQ2,RQ4,RQ5",P1,Inductive/cold-start + semantic/LLM-assisted structure; stress-tests sparse ontology and external-information coding.,Strict KC cold-start; inductive representation; semantic/LLM auxiliary input,YES,YES
13,KT049,Mitigating Cold-Start Problems in Knowledge Tracing with Large Language Models,2024,CIKM,PRIMARY_ADJACENT,SPARSE_KT,"RQ4,RQ5",P1,PRIMARY_ADJACENT sparse/cold-start case; tests RQ4 contextual evidence without forcing Graph/SSL gateway.,Adjacent sparse/cold-start; zero-train exposure; support counts; external semantics,YES,YES
14,KT041,Towards Robust Knowledge Tracing Models via k-Sparse Attention,2023,SIGIR,BACKGROUND,SPARSE_TERM_AMBIGUITY,,P1,Critical boundary case: k-sparse attention is not sparse-concept evidence.,Sparse-attention ambiguity; sparse ontology boundary,YES,YES
15,KT055,GKT-CD: Make Cognitive Diagnosis Model Enhanced by Graph-Based Knowledge Tracing,2021,IJCNN,EXCLUDE,GRAPH_ADJACENT,,P1,Critical exclusion boundary: cognitive diagnosis enhanced by Graph-KT; tests KT-central-task eligibility.,Task eligibility; cognitive diagnosis vs KT; exclusion logic,YES,YES
