legacy_id,year,authors_short,title,venue,legacy_doi_or_identifier,preliminary_scope_status,new_survey_signal,verification_required,verification_notes,seed_classification_v1_0,adjacent_subtype,G_criterion_seed,S_criterion_seed,sparse_concept_lens,RQ_support_seed,classification_confidence,fulltext_verification_required,metadata_verification_required,decision_note,verification_source_url
KT001,2015,Piech et al.,Deep Knowledge Tracing,NeurIPS,10.48550/arXiv.1506.05908,BACKGROUND,BASELINE,YES,"Sequence baseline; legacy identifier is arXiv DOI, publisher metadata should be verified.",BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,BACKGROUND: sequence/probabilistic KT baseline without a verified Graph-Based or Self-Supervised mechanism.,
KT002,2017,Zhang et al.,Dynamic Key-Value Memory Networks for Knowledge Tracing,WWW,10.1145/3038912.3052580,BACKGROUND,BASELINE,YES,Memory-based KT baseline.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,BACKGROUND: sequence/probabilistic KT baseline without a verified Graph-Based or Self-Supervised mechanism.,
KT003,2021,Liu et al.,EKT: Exercise-Aware Knowledge Tracing for Student Performance Prediction,IEEE TKDE,10.1109/TKDE.2019.2924374,BACKGROUND,BASELINE,YES,General KT supporting evidence.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,BACKGROUND: sequence/probabilistic KT baseline without a verified Graph-Based or Self-Supervised mechanism.,
KT004,2019,Nakagawa et al.,Graph-Based Knowledge Tracing: Modeling Student Proficiency Using Graph Neural Network,IEEE/WIC/ACM WI,10.1145/3350546.3352513,POTENTIAL_CORE,GRAPH_KT,YES,Seminal explicit Graph-KT candidate.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT005,2023,Abdelrahman et al.,Knowledge Tracing: A Survey,ACM Computing Surveys,10.1145/3569576,BACKGROUND,PRIOR_SURVEY,YES,Positioning and prior-survey comparison.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,"BACKGROUND: prior survey used for positioning, taxonomy comparison, and snowballing.",
KT006,2018,Yeung et al.,Addressing Two Problems in Deep Knowledge Tracing via Prediction-Consistent Regularization,ACM L@S,10.1145/3231644.3231647,BACKGROUND,BASELINE,YES,Regularized DKT; not automatically SSL.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,BACKGROUND: sequence/probabilistic KT baseline without a verified Graph-Based or Self-Supervised mechanism.,
KT007,2019,Pandey & Karypis,A Self-Attentive Model for Knowledge Tracing,EDM,10.48550/arXiv.1907.06837,BACKGROUND,BASELINE,YES,SAKT foundation; peer-reviewed record/identifier should be verified.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,BACKGROUND: sequence/probabilistic KT baseline without a verified Graph-Based or Self-Supervised mechanism.,
KT008,2019,Nagatani et al.,Augmenting Knowledge Tracing by Considering Forgetting Behavior,WWW,10.1145/3308558.3313565,BACKGROUND,BASELINE,YES,Temporal/forgetting KT background.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,BACKGROUND: sequence/probabilistic KT baseline without a verified Graph-Based or Self-Supervised mechanism.,
KT009,2019,Abdelrahman et al.,Knowledge Tracing with Sequential Key-Value Memory Networks,SIGIR,10.1145/3331184.3331195,BACKGROUND,BASELINE,YES,Memory KT background.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,BACKGROUND: sequence/probabilistic KT baseline without a verified Graph-Based or Self-Supervised mechanism.,
KT010,2021,Yang et al.,GIKT: A Graph-Based Interaction Model for Knowledge Tracing,ECML-PKDD,10.1007/978-3-030-67658-2_18,POTENTIAL_CORE,GRAPH_KT,YES,Core graph-interaction candidate.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT011,2022,Song et al.,Bi-CLKT: Bi-Graph Contrastive Learning Based Knowledge Tracing,Knowledge-Based Systems,10.1016/j.knosys.2022.108274,POTENTIAL_CORE,GRAPH_SSL_KT,YES,Direct graph + contrastive KT intersection.,PRIMARY_CORE,,YES,YES,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ3,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion and satisfies the Self-Supervised KT criterion; full-text coding is still required before final corpus freeze.,
KT012,2021,Song et al.,JKT: A Joint Graph Convolutional Network Based Deep Knowledge Tracing,Information Sciences,10.1016/j.ins.2021.08.100,POTENTIAL_CORE,GRAPH_KT,YES,GCN + DKT candidate.,PRIMARY_CORE,,YES,NO,NO_EXPLICIT_FOCUS,"RQ1,RQ2,RQ5",HIGH,YES,YES,PRIMARY_CORE because it satisfies the Graph-Based KT criterion; full-text coding is still required before final corpus freeze.,
KT013,2016,Xiong et al.,Going Deeper with Deep Knowledge Tracing,EDM,TBD_VERIFY,BACKGROUND,BASELINE,YES,Historical deep-KT evidence.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,BACKGROUND: sequence/probabilistic KT baseline without a verified Graph-Based or Self-Supervised mechanism.,
KT014,2018,Chen et al.,Prerequisite-Driven Deep Knowledge Tracing,ICDM,10.1109/ICDM.2018.00019,POTENTIAL_CORE,GRAPH_KT,YES,Prerequisite-structure candidate.,PRIMARY_CORE,,YES,NO,YES,"RQ1,RQ2,RQ4,RQ5",HIGH,YES,YES,PRIMARY_CORE. The paper explicitly defines a prerequisite matrix that creates a concept prerequisite graph and uses prerequisite relations in the KT objective.,https://doi.org/10.1109/ICDM.2018.00019
KT015,2018,Minn et al.,Deep Knowledge Tracing and Dynamic Student Classification for Knowledge Tracing,ICDM,10.1109/ICDM.2018.00156,BACKGROUND,BASELINE,YES,General DKT.,BACKGROUND,,NO,NO,NO_EXPLICIT_FOCUS,,MEDIUM,YES,YES,BACKGROUND: sequence/probabilistic KT baseline without a verified Graph-Based or Self-Supervised mechanism.,
