paper_id,model_name,venue_year,ssl_family,target_level,augmentation_strategy,training_mode,educational_structure_preservation
KT011,Bi-CLKT,KBS 2022,MULTIVIEW_CONTRASTIVE,NODE_GRAPH_DUAL,EDGE_DROPOUT_SUBGRAPH,JOINT_MULTITASK,EXPLICIT_GRAPH_RETAINED
KT026,Pre-train Q-Emb (PEBG),IJCAI 2020,GRAPH_EMBEDDING_PRETRAINING,NODE_LEVEL,BIPARTITE_GRAPH_RECONSTRUCTION,TWO_STAGE_PRETRAIN,EXPLICIT_GRAPH_RETAINED
KT039,CL4KT,WWW 2022,SEQUENCE_CONTRASTIVE,SUBSEQUENCE_LEVEL,QUESTION_ITEM_CROP_REORDER_MASK,JOINT_MULTITASK,NO_EXPLICIT_CONSTRAINT
KT042,S2-HHN,InfoSci 2023,HYPERGRAPH_CONTRASTIVE,HYPERGRAPH_VIEW,HYPEREDGE_MASKING,JOINT_MULTITASK,EXPLICIT_GRAPH_RETAINED
KT043,3V-CLKT,IEEE TCE 2024,MULTIVIEW_CONTRASTIVE,MULTIVIEW_GRAPH,THREE_VIEW_PERTURBATION,JOINT_MULTITASK,EXPLICIT_GRAPH_RETAINED
KT044,SINKT,CIKM 2024,STRUCTURE_AWARE_INDUCTIVE,INDUCTIVE_GRAPH,LLM_STRUCTURE_PROMPTING,JOINT_MULTITASK,EXPLICIT_GRAPH_RETAINED
KT047,DC-SSL,ESWA 2023,GRAPH_CONTRASTIVE,DUAL_CHANNEL_GRAPH,CHANNEL_MASKING,JOINT_MULTITASK,EXPLICIT_GRAPH_RETAINED
KT050,GraphCA,JAS 2023,GRAPH_CONTRASTIVE,CONTEXT_AWARE_GRAPH,GRAPH_PERTURBATION,JOINT_MULTITASK,EXPLICIT_GRAPH_RETAINED
KT066,HyperKT,IEEE TNNLS 2025,CROSS_VIEW_CONTRASTIVE,DUAL_HYPERGRAPH_LINE_GRAPH,DUAL_VIEW_MASKING,JOINT_MULTITASK,EXPLICIT_GRAPH_RETAINED
KT068,HKT,IP&M 2025,HIERARCHICAL_CONTRAST,HIERARCHICAL_STRUCTURE,HIERARCHICAL_PERTURBATION,JOINT_MULTITASK,EXPLICIT_GRAPH_RETAINED
KT070,Coda,KDD 2025,DEBIASED_CONTRASTIVE,NODE_LEVEL,COVARIATE_DEBIAS_MASKING,JOINT_MULTITASK,EXPLICIT_GRAPH_RETAINED
KT076,KGNN-KT,KBS 2025,KNOWLEDGE_GRAPH_PRETRAINING,SEMANTIC_GRAPH,LLM_SEMANTIC_RECONSTRUCTION,TWO_STAGE_PRETRAIN,EXPLICIT_GRAPH_RETAINED
KT077,R2GCurL,IEEE TKDE 2026,REINFORCED_CURRICULUM_SSL,DYNAMIC_GRAPH,CURRICULUM_SAMPLING,JOINT_MULTITASK,EXPLICIT_GRAPH_RETAINED
KT079,STG-SKT,DASFAA 2026,SPATIOTEMPORAL_SSL,STREAMING_GRAPH,SPATIOTEMPORAL_MASKING,JOINT_MULTITASK,EXPLICIT_GRAPH_RETAINED
