duplicate_group_id,kept_record_id,removed_record_id,matching_rule,resolution,reviewer,notes
DUP_001,REC_0004,REC_0142,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate GKT paper across Scopus and ACM DL
DUP_002,REC_0010,REC_0168,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate GIKT paper across IEEE Xplore and Scopus
DUP_003,REC_0011,REC_0185,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate Bi-CLKT paper across ScienceDirect and WoS
DUP_004,REC_0012,REC_0194,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate JKT paper across ScienceDirect and Scopus
DUP_005,REC_0014,REC_0248,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate PDKT-C paper across IEEE Xplore and Scopus
DUP_006,REC_0016,REC_0286,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate SKT paper across IEEE Xplore and WoS
DUP_007,REC_0023,REC_0312,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate SGKT paper across ScienceDirect and Scopus
DUP_008,REC_0026,REC_0358,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate Pre-train Q-Emb paper across ACM DL and Scopus
DUP_009,REC_0029,REC_0396,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate DGEKT paper across ACM DL and WoS
DUP_010,REC_0031,REC_0412,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate KSG-AKT paper across SpringerLink and Scopus
DUP_011,REC_0033,REC_0445,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate DGMN paper across IEEE Xplore and WoS
DUP_012,REC_0035,REC_0488,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate HHSKT paper across ScienceDirect and Scopus
DUP_013,REC_0036,REC_0512,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate TSKT paper across ScienceDirect and WoS
DUP_014,REC_0037,REC_0545,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate CMKT paper across IEEE Xplore and Scopus
DUP_015,REC_0038,REC_0588,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate DyGKT paper across ACM DL and Scopus
DUP_016,REC_0039,REC_0612,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate CL4KT paper across ACM DL and WoS
DUP_017,REC_0042,REC_0645,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate S2-HHN paper across ScienceDirect and Scopus
DUP_018,REC_0043,REC_0688,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate 3V-CLKT paper across IEEE Xplore and WoS
DUP_019,REC_0044,REC_0712,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate SINKT paper across ACM DL and Scopus
DUP_020,REC_0047,REC_0745,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate DC-SSL paper across ScienceDirect and WoS
DUP_021,REC_0050,REC_0788,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate GraphCA paper across IEEE Xplore and Scopus
DUP_022,REC_0052,REC_0812,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate Capsule GNN paper across SpringerLink and WoS
DUP_023,REC_0053,REC_0845,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate GASKT paper across SpringerLink and Scopus
DUP_024,REC_0056,REC_0888,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate LST-Graph paper across ScienceDirect and WoS
DUP_025,REC_0060,REC_0912,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate STHKT paper across ScienceDirect and Scopus
DUP_026,REC_0062,REC_0945,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate LGS-KT paper across ScienceDirect and WoS
DUP_027,REC_0063,REC_0988,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate MAHKT paper across ScienceDirect and Scopus
DUP_028,REC_0064,REC_1012,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate MG-Ensemble paper across ScienceDirect and WoS
DUP_029,REC_0065,REC_1045,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate CS-GKT paper across ScienceDirect and Scopus
DUP_030,REC_0066,REC_1088,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate HyperKT paper across IEEE Xplore and WoS
DUP_031,REC_0067,REC_1112,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate SKM-GKT paper across SpringerLink and Scopus
DUP_032,REC_0068,REC_1145,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate HKT paper across ScienceDirect and WoS
DUP_033,REC_0069,REC_1178,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate AEGOT-CDKT paper across SpringerLink and Scopus
DUP_034,REC_0070,REC_1212,DOI_EXACT_MATCH,KEEP_FIRST,AI_ASSISTANT,Duplicate Coda paper across ACM DL and Scopus
